"General Settings","Général"
"Categories Separator","Séparateur de catégories"
"Full overview available","Aperçu complet disponible"
"here","ici"
"Bubble Api improves default features of Magento API such as association of simple products and configurable products.","Bubble Api permet d'ajouter des fonctionnalités à l'API Magento comme l'association de produits simples et configurables."
"http://www.bubblecode.net/en/2012/04/20/magento-api-associate-simple-products-to-configurable-or-grouped-product/","http://www.bubblecode.net/2012/04/20/api-magento-associer-des-produits-simples-a-un-produit-configurable-ou-groupe/"
